author_sort,authors,title_sort,title,isbn,pubdate,publisher,series,series_index
"Maher, Jimmy","Jimmy Maher","Digital Antiquarian, Volume 1: 1966-1979, The","The Digital Antiquarian, Volume 1: 1966-1979","","0101-01-01T10:00:00+10:00","","","1.0"
"Maher, Jimmy","Jimmy Maher","Digital Antiquarian, Volume 2: 1980, The","The Digital Antiquarian, Volume 2: 1980","","0101-01-01T10:00:00+10:00","","","1.0"
"Maher, Jimmy","Jimmy Maher","Digital Antiquarian, Volume 3: 1981, The","The Digital Antiquarian, Volume 3: 1981","","0101-01-01T10:00:00+10:00","","","1.0"
"Maher, Jimmy","Jimmy Maher","Digital Antiquarian, Volume 4: 1982, The","The Digital Antiquarian, Volume 4: 1982","","0101-01-01T10:00:00+10:00","","","1.0"
"Maher, Jimmy","Jimmy Maher","Digital Antiquarian, Volume 5: 1983, The","The Digital Antiquarian, Volume 5: 1983","","0101-01-01T10:00:00+10:00","","","1.0"
"Maher, Jimmy","Jimmy Maher","Digital Antiquarian, Volume 6: 1984, The","The Digital Antiquarian, Volume 6: 1984","","0101-01-01T10:00:00+10:00","","","1.0"
"Maher, Jimmy","Jimmy Maher","Digital Antiquarian, Volume 7: 1985, The","The Digital Antiquarian, Volume 7: 1985","","0101-01-01T10:00:00+10:00","","","1.0"
"Maher, Jimmy","Jimmy Maher","Digital Antiquarian, Volume 8: 1986, The","The Digital Antiquarian, Volume 8: 1986","","0101-01-01T10:00:00+10:00","","","1.0"
"Maher, Jimmy","Jimmy Maher","Digital Antiquarian, Volume 9: 1987, The","The Digital Antiquarian, Volume 9: 1987","","0101-01-01T10:00:00+10:00","","","1.0"
"Keathley, Elizabeth","Elizabeth Keathley","Digital Asset Management: Content Architectures, Project Management, and Creating Order Out of Media Chaos","Digital Asset Management: Content Architectures, Project Management, and Creating Order Out of Media Chaos","9781430263760","2014-03-17T14:00:00+10:00","Apress","","1.0"
"Administrator","Administrator","DjVu Document","DjVu Document","","0101-01-01T10:00:00+10:00","","","1.0"
"Sainsbury-Salis, Amanda Phd","Dr Amanda Sainsbury-Salis Phd","Don't Go Hungry Diet, The","The Don't Go Hungry Diet","9781863255233","2007-02-01T23:00:00+10:00","Random House Australia","","1.0"
"Dr Amanda Sainsbury-Salis, PhD","Dr Amanda Sainsbury-Salis, PhD","Don’t Go Hungry Diet, The","The Don’t Go Hungry Diet","","2007-05-18T00:00:00+10:00","Random House Australia","","1.0"
"Haring, Scott","Scott Haring","e23SpacePlanetaryRecord.qxd","e23SpacePlanetaryRecord.qxd","","2006-05-13T03:20:40+10:00","","","1.0"
"Unknown","Unknown","eprimer-nets","eprimer-nets","","0101-01-01T10:00:00+10:00","","","1.0"
"Greenberg, Ira","Ira Greenberg","Essential Guide to Processing for Flash Developers, The","The Essential Guide to Processing for Flash Developers","9781430219798","2009-12-27T00:00:00+10:00","Apress","","1.0"
"Unknown","Unknown","Fantasy Seeds","Fantasy Seeds","","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","Fantasy Seeds Print","Fantasy Seeds Print","","0101-01-01T10:00:00+10:00","","","1.0"
"Reid, Corey","Corey Reid","fire and brimstone","fire and brimstone","","0101-01-01T10:00:00+10:00","","","1.0"
"Administrator, Systems","Systems Administrator","Flare Star.qxp","Flare Star.qxp","","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","FOSS Network Infrastructure and Security","FOSS Network Infrastructure and Security","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Lessig, Lawrence","Lawrence Lessig","Free Culture: The Nature and Future of Creativity","Free Culture: The Nature and Future of Creativity","9781101200841","2004-03-29T23:00:00+10:00","Penguin Books","","1.0"
