Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7405941,Beautiful Visualization: Looking at Data through the Eyes of Experts,Julie Steele,"Steele, Julie",Noah Iliinsky,"=""1449379869""","=""9781449379865""",0,3.75,O'Reilly Media,Paperback,416,2010,2010,,2016/12/10,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
16087610,Interactive Data Visualization for the Web,Scott Murray,"Murray, Scott",,"=""1449339735""","=""9781449339739""",0,4.05,O'Reilly Media,Paperback,272,2013,2013,,2016/12/10,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
289201,Creative Code: Aesthetics + Computation,John Maeda,"Maeda, John",,"=""0500285179""","=""9780500285176""",0,3.91,Thames  Hudson,Paperback,256,2004,2004,,2016/12/10,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
2112788,Visualizing Data: Exploring and Explaining Data with the Processing Environment,Ben Fry,"Fry, Ben",,"=""0596514557""","=""9780596514556""",0,3.69,O'Reilly Media,Paperback,384,2007,2007,,2016/12/10,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
33306788,"The Man Who Invented the Computer: The Biography of John Atanasoff, Digital Pioneer",Jane Smiley,"Smiley, Jane",,"=""""","=""""",0,3.47,,Audible Audio,,,2010,2016/12/12,2016/12/10,"computer-history, audio","computer-history (#22), audio (#6)",read,,,,1,,,0,,,,,
33286573,Electronic Dreams: How 1980s Britain Learned to Love the Computer,Tom Lean,"Lean, Tom",,"=""""","=""""",4,4.07,,Audible Audio,,,2016,2016/12/10,2016/12/07,"computer-history, audio","computer-history (#21), audio (#5)",read,,,,1,,,0,,,,,
40492,Revolution in The Valley: The Insanely Great Story of How the Mac Was Made,Andy Hertzfeld,"Hertzfeld, Andy",Steve Wozniak,"=""0596007191""","=""9780596007195""",0,4.18,O'Reilly Media,Paperback,291,2004,2004,,2016/12/07,"to-read, computer-history","to-read (#49), computer-history (#8)",to-read,,,,0,,,0,,,,,
33284294,When Computing Got Personal: A history of the desktop computer,Matt    Nicholson,"Nicholson, Matt",,"=""""","=""""",0,4.04,,Audiobook,,,2014,2016/12/08,2016/12/07,"computer-history, audio","computer-history (#20), audio (#4)",read,,,,1,,,0,,,,,
19319809,The Pixar Touch,David A. Price,"Price, David A.",,"=""""","=""""",0,3.93,Tantor Audio,Audiobook,0,2008,2008,2016/12/05,2016/12/07,"computer-history, audio","computer-history (#19), audio (#3)",read,,,,1,,,0,,,,,
204423,Core Web3d [With CDROM],Aaron E. Walsh,"Walsh, Aaron E.",Mikael Bourges-Sevenier,"=""0130857289""","=""9780130857286""",0,3.00,Prentice Hall PTR,Paperback,1152,2000,2000,,2016/11/22,"to-read, paper","to-read (#48), paper (#5)",to-read,,,,0,,,0,,,,,
1949628,Mega Traveller,Elizabeth Danforth,"Danforth, Elizabeth",,"=""0943580471""","=""9780943580470""",0,3.22,Plenum Publishing Corporation,Paperback,104,1987,1987,,2016/11/01,"rpg, paper","rpg (#10), paper (#19)",read,,,,1,,,0,,,,,
1148240,Power-Up: How Japanese Video Games Gave the World an Extra Life,Chris Kohler,"Kohler, Chris",,"=""0744004241""","=""0752073004248""",0,3.92,BradyGames,Paperback,312,2004,2004,,2016/11/01,"computer-history, to-read","computer-history (#14), to-read (#54)",to-read,,,,0,,,0,,,,,
12496638,Gamers at Work: Stories Behind the Games People Play,Peter Molyneux,"Molyneux, Peter",Morgan Ramsay,"=""1430233516""","=""9781430233510""",0,3.62,Apress,Paperback,356,2012,2012,,2016/10/30,"to-read, to-buy, game-dev","to-read (#47), to-buy (#16), game-dev (#2)",to-read,,,,0,,,0,,,,,
29390943,Procedural Content Generation for C++ Game Development,Dale Green,"Green, Dale",,"=""""","=""""",5,4.00,Packt Publishing,Kindle Edition,306,2016,,,2016/10/29,"programming, to-read, stalled","programming (#19), to-read (#50), stalled (#1)",to-read,,,,0,,,0,,,,,
17399511,"Blender 3D 2.49 Architecture, Buidlings, and Scenery",Allan Brito,"Brito, Allan",,"=""1849510490""","=""9781849510493""",0,3.12,Packt Publishing,ebook,376,2010,2008,,2016/10/29,"to-read, 3d-modelling","to-read (#46), 3d-modelling (#1)",to-read,,,,0,,,0,,,,,
21266479,Google SketchUp for Game Design: Beginner's Guide,Robin de Jongh,"Jongh, Robin de",,"=""""","=""""",3,4.15,Packt Publishing,Kindle Edition,270,2011,2011,2016/11/01,2016/10/29,"3d-modelling, game-dev","3d-modelling (#6), game-dev (#3)",read,,,,1,,,0,,,,,
16849325,"Blender 3D Architecture, Buildings, and Scenery",Allan Brito,"Brito, Allan",,"=""1281386448""","=""9781281386441""",2,3.12,Packt Publishing,ebook,316,2008,2008,2016/11/10,2016/10/29,3d-modelling,3d-modelling (#4),read,,,,1,,,0,,,,,
8518770,Computers In Spaceflight: The NASA Experience,James Tomayko,"Tomayko, James",,"=""""","=""""",4,3.91,,Kindle Edition,465,,2009,,2016/09/24,computer-history,computer-history (#18),read,,,,1,,,0,,,,,
6704793,"Programming Interactivity: A Designer's Guide to Processing, Arduino, and Openframeworks",Joshua Noble,"Noble, Joshua",,"=""0596154143""","=""9780596154141""",0,3.88,O'Reilly Media,Paperback,736,2009,2009,,2016/09/24,"to-read, to-buy, programming","to-read (#45), to-buy (#15), programming (#23)",to-read,,,,0,,,0,,,,,
472325,Processing: A Programming Handbook for Visual Designers and Artists,Casey Reas,"Reas, Casey","Ben Fry, John Maeda","=""0262182629""","=""9780262182621""",0,4.18,MIT Press (MA),Hardcover,710,2007,2007,,2016/09/24,"to-read, to-buy, programming","to-read (#44), to-buy (#14), programming (#20)",to-read,,,,0,,,0,,,,,
3908677,"Learning Processing: A Beginner's Guide to Programming Images, Animation, and Interaction",Daniel Shiffman,"Shiffman, Daniel",,"=""0123736021""","=""9780123736024""",0,4.27,Morgan Kaufmann Publishers,Paperback,453,2009,2008,,2016/09/24,"to-read, to-buy, programming","to-read (#43), to-buy (#13), programming (#12)",to-read,,,,0,,,0,,,,,
32192093,The Pirate Book,Various,"Various, Various",,"=""""","=""9789619219287""",4,4.00,lulu,ebook,238,2015,,2016/12/29,2016/09/24,"computer-history, networking, copyright","computer-history (#23), networking (#10), copyright (#1)",read,,,,1,,,0,,,,,
32192054,GURPS Infinite Worlds,Kenneth Hite,"Hite, Kenneth",,"=""""","=""""",0,4.26,,ebook,,,2005,,2016/09/23,"to-read, rpg","to-read (#42), rpg (#5)",to-read,,,,0,,,0,,,,,
14577488,"Generative Design: Visualize, Program, and Create with Processing",Hartmut Bohnacker,"Bohnacker, Hartmut",Benedikt Groß,"=""1616890770""","=""9781616890773""",0,4.55,Princeton Architectural Press,Hardcover,472,2012,2009,,2016/09/23,"to-read, to-buy, programming","to-read (#41), to-buy (#12), programming (#4)",to-read,,,,0,,,0,,,,,
32192036,Ham Radio For Dummies 2nd Edition,H. Ward Silver,"Silver, H. Ward",,"=""""","=""""",3,3.70,,ebook,,,2004,,2016/09/23,,,read,,,,1,,,0,,,,,
10974661,Clients From Hell: A collection of anonymously-contributed client horror stories from designers,Anonymous,"Anonymous, Anonymous",,"=""0982473931""","=""9780982473931""",4,4.09,Channel V Books,Paperback,150,2010,2010,,2016/09/23,paper,paper (#18),read,,,,1,,,0,,,,,
